varible_name,method,"AffinityPropagation(damping=0.999, random_state=0)","AgglomerativeClustering(metric='euclidean', n_clusters=13)","KMeans(n_clusters=13, n_init='auto', random_state=0)",MeanShift(bandwidth=2.3),"SpectralClustering(assign_labels='discretize', n_clusters=13, random_state=0)"
bet_number,random.randint,CLUSTER_30,CLUSTER_5,CLUSTER_0,CLUSTER_0,CLUSTER_1
bet,random.randint,CLUSTER_30,CLUSTER_5,CLUSTER_0,CLUSTER_0,CLUSTER_1
spin,random.randint,CLUSTER_30,CLUSTER_5,CLUSTER_0,CLUSTER_0,CLUSTER_1
food_review_total,pandas.DataFrame,CLUSTER_1,CLUSTER_10,CLUSTER_2,CLUSTER_0,CLUSTER_4
df_food_review,pandas.DataFrame,CLUSTER_1,CLUSTER_10,CLUSTER_2,CLUSTER_0,CLUSTER_4
food_info_total,pandas.DataFrame,CLUSTER_1,CLUSTER_10,CLUSTER_2,CLUSTER_0,CLUSTER_4
food_info_total,pandas.DataFrame,CLUSTER_1,CLUSTER_10,CLUSTER_2,CLUSTER_0,CLUSTER_4
food_info,pandas.DataFrame,CLUSTER_1,CLUSTER_10,CLUSTER_2,CLUSTER_0,CLUSTER_4
food_review_total,pandas.concat,CLUSTER_1,CLUSTER_10,CLUSTER_2,CLUSTER_0,CLUSTER_4
food_info_total,pandas.concat,CLUSTER_1,CLUSTER_10,CLUSTER_2,CLUSTER_0,CLUSTER_4
food_review_merge,pandas.merge,CLUSTER_1,CLUSTER_10,CLUSTER_2,CLUSTER_0,CLUSTER_4
food_review,pandas.read_csv,CLUSTER_1,CLUSTER_10,CLUSTER_2,CLUSTER_0,CLUSTER_4
food_info,pandas.read_csv,CLUSTER_1,CLUSTER_10,CLUSTER_2,CLUSTER_0,CLUSTER_4
os.chdir(default_path)countries,os.listdir,CLUSTER_1,CLUSTER_10,CLUSTER_2,CLUSTER_0,CLUSTER_4
food_info_total,os.listdir,CLUSTER_1,CLUSTER_10,CLUSTER_2,CLUSTER_0,CLUSTER_4
cities,os.listdir,CLUSTER_1,CLUSTER_10,CLUSTER_2,CLUSTER_0,CLUSTER_4
emoji_pattern,re.compile,CLUSTER_1,CLUSTER_10,CLUSTER_2,CLUSTER_0,CLUSTER_4
image_copy,numpy.copy,CLUSTER_26,CLUSTER_7,CLUSTER_11,CLUSTER_30,CLUSTER_8
key_pts_copy,numpy.copy,CLUSTER_26,CLUSTER_7,CLUSTER_11,CLUSTER_30,CLUSTER_8
key_pts_frame,pandas.read_csv,CLUSTER_26,CLUSTER_7,CLUSTER_11,CLUSTER_30,CLUSTER_8
self.key_pts_frame,pandas.read_csv,CLUSTER_26,CLUSTER_7,CLUSTER_11,CLUSTER_30,CLUSTER_8
fig,matplotlib.pyplot.figure,CLUSTER_26,CLUSTER_7,CLUSTER_11,CLUSTER_30,CLUSTER_8
fig,matplotlib.pyplot.figure,CLUSTER_26,CLUSTER_7,CLUSTER_11,CLUSTER_30,CLUSTER_8
ax,matplotlib.pyplot.subplot,CLUSTER_26,CLUSTER_7,CLUSTER_11,CLUSTER_30,CLUSTER_8
ax,matplotlib.pyplot.subplot,CLUSTER_26,CLUSTER_7,CLUSTER_11,CLUSTER_30,CLUSTER_8
map_reverse_n,pandas.Series,CLUSTER_3,CLUSTER_1,CLUSTER_10,CLUSTER_0,CLUSTER_0
map_reverse,pandas.concat,CLUSTER_3,CLUSTER_1,CLUSTER_10,CLUSTER_0,CLUSTER_0
train,pandas.read_csv,CLUSTER_3,CLUSTER_1,CLUSTER_10,CLUSTER_0,CLUSTER_0
test,pandas.read_csv,CLUSTER_3,CLUSTER_1,CLUSTER_10,CLUSTER_0,CLUSTER_0
kf,sklearn.model_selection.KFold,CLUSTER_3,CLUSTER_1,CLUSTER_10,CLUSTER_0,CLUSTER_0
district_summary_df,pandas.DataFrame,CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
df,pandas.DataFrame,CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
